user_id,qid,sequence_id,log_id,correct
2589,2,1,4184209,1
2589,3,2,4184285,0.6
2589,4,3,4184300,1
2589,5,4,4184664,0
2589,6,5,4184671,0
2589,7,6,4184746,1
2589,8,7,4184794,1
2589,9,8,4184835,0
2589,10,9,4184907,1
2589,11,10,4184924,1
1946,2,1,4109289,0
1946,3,2,4115850,0
1946,4,3,4115880,0
1946,5,4,4116006,0
1946,6,5,4116018,0
1946,7,6,4116098,0
1946,8,7,4116156,0
1946,9,8,4116188,0
1946,10,9,4116293,0
1946,11,10,4116313,0
1909,2,1,4109344,1
1909,3,2,4109545,0
1909,4,3,4109590,1
1909,5,4,4109997,0
1909,6,5,4110032,0
1909,7,6,4110112,1
1909,8,7,4110241,1
1909,9,8,4110552,0
1909,10,9,4110673,1
1909,11,10,4110716,0
1575,2,1,4111136,1
1575,3,2,4111186,1
1575,4,3,4111277,1
1575,5,4,4111303,1
1575,6,5,4111313,0
1575,7,6,4111318,0
1575,8,7,4111341,1
1575,9,8,4111363,1
1575,10,9,4111382,1
1575,11,10,4111403,1
2381,2,1,4186205,1
2381,3,2,4188697,0
2381,4,3,4186332,1
2381,5,4,4188606,1
2381,6,5,4188687,1
2381,7,6,4188984,1
2381,8,7,4189225,1
2381,9,8,4189425,1
2381,10,9,4189477,1
2381,11,10,4189515,0
1933,2,1,4112311,0
1933,3,2,4112400,0.6
1933,4,3,4112433,1
1933,5,4,4112503,0
1933,6,5,4112527,0
1933,7,6,4112613,1
1933,8,7,4112639,0
1933,9,8,4112738,1
1933,10,9,4112796,0
1933,11,10,4112824,1
1461,2,1,4114034,0
1461,3,2,4114132,0
1461,4,3,4114161,1
1461,5,4,4114234,0
1461,6,5,4114276,1
1461,7,6,4114333,1
1461,8,7,4114475,1
1461,9,8,4114546,0
1461,10,9,4114609,1
1461,11,10,4114674,1
2424,2,1,4117048,1
2424,3,2,4117192,0.6
2424,4,3,4117228,1
2424,5,4,4117239,0
2424,6,5,4117251,0
2424,7,6,4117398,1
2424,8,7,4117454,1
2424,9,8,4117568,0
2424,10,9,4117620,0
2424,11,10,4117706,1
1634,2,1,4118153,0
1634,3,2,4179454,0
1634,4,3,4179485,1
1634,5,4,4180010,1
1634,6,5,4180037,0
1634,7,6,4180047,0
1634,8,7,4180086,1
1634,9,8,4180112,0
1634,10,9,4180136,0
1634,11,10,4180165,0
1620,2,1,4119396,1
1620,3,2,4119466,0
1620,4,3,4119505,1
1620,5,4,4119564,0
1620,6,5,4119582,0
1620,7,6,4119613,1
1620,8,7,4119639,1
1620,9,8,4119750,0
1620,10,9,4119797,0
1620,11,10,4119833,0
2477,2,1,4120409,0
2477,3,2,4120496,0
2477,4,3,4120526,1
2477,5,4,4120863,0
2477,6,5,4120915,1
2477,7,6,4120963,1
2477,8,7,4121014,0
2477,9,8,4121140,0
2477,10,9,4121202,1
2477,11,10,4121255,0
2336,2,1,4122019,1
2336,3,2,4122759,0
2336,4,3,4122845,1
2336,5,4,4126635,1
2336,6,5,4126951,1
2336,7,6,4129131,1
2336,8,7,4129398,1
2336,9,8,4130183,1
2336,10,9,4130521,1
2336,11,10,4130621,1
2216,2,1,4122125,1
2216,3,2,4122241,0
2216,4,3,4122266,1
2216,5,4,4122423,1
2216,6,5,4122453,1
2216,7,6,4122512,1
2216,8,7,4122793,1
2216,9,8,4122839,1
2216,10,9,4122866,1
2216,11,10,4122903,1
2636,2,1,4123039,1
2636,3,2,4123341,0
2636,4,3,4123435,1
2636,5,4,4123903,1
2636,6,5,4123965,1
2636,7,6,4124028,1
2636,8,7,4124108,1
2636,9,8,4124311,1
2636,10,9,4124464,1
2636,11,10,4124624,1
1304,2,1,4123013,1
1304,3,2,4123169,0
1304,4,3,4123215,1
1304,5,4,4123390,0
1304,6,5,4123399,0
1304,7,6,4123464,1
1304,8,7,4123516,1
1304,9,8,4123610,1
1304,10,9,4123690,1
1304,11,10,4123744,1
2076,2,1,4123902,0
2076,3,2,4124028,0
2076,4,3,4124083,1
2076,5,4,4124171,0
2076,6,5,4124226,1
2076,7,6,4124370,1
2076,8,7,4124593,1
2076,9,8,4124996,0
